Product_Name,Delivery,Discounted_Price,Actual_Price
"Dell Vostro 3520 i5 12th Gen | 16GB RAM | 512GB SSD | 15.6"" 120Hz FHD | Black",Free Delivery,"Rs.64,999",
"Lenovo V15 celeron 4GB RAM 256GB SSD,15.6 inch HD Display",Free Delivery,"Rs.32,999","Rs. 45,000"
Acer Nitro 5 Ryzen 7 5800H 16GB Ram 512GB SSD GTX 1650 144hz RGB,Free Delivery,"Rs.101,999","Rs. 125,000"
"Dell Vostro 3520 i3 12th Gen | 16GB RAM | 512GB SSD | 15.6"" 120Hz FHD Display Laptop",Free Delivery,"Rs.51,000",
"HP Victus 15 i5 13th Gen 13420H / 16GB DDR4 RAM / 512GB NVMe SSD / NVIDIA GeForce RTX 3050 6GB GPU / 15.6"" FHD 144Hz Display / Windows 11 Home / Backlit Keyboard",Free Delivery,"Rs.107,999","Rs. 130,000"
"Laptop Acer Aspire 3 AMD Ryzen 7 5700U - 16GB DDR4 RAM - 512GB NVMe SSD - AMD Radeon Integrated Graphics - 15.6"" FHD Display - Silver",Free Delivery,"Rs.72,999","Rs. 105,000"
"Dell Latitude E5470 I5-6th Gen | 8 GB RAM | 256 GB SSD | 14"" Screen",Free Delivery,"Rs.39,999","Rs. 65,000"
"Acer Aspire 5 Core i5 13th Gen/8GB RAM/512GB SSD/15.6"" FHD/Win 11",Free Delivery,"Rs.69,990","Rs. 85,000"
"HP Victus 15 Core i5 13th Gen Intel 13420H /NVidia RTX 3050 6GB Graphics /16GB RAM/512GB SSD/15.6"" 144Hrz/Backlit Keyboard/Win 11",Free Delivery,"Rs.111,499","Rs. 145,990"
"Asus VivoBook I512th Gen 16GB/512GB/14""inch display/Numpad/Windows 11",Free Delivery,"Rs.77,000","Rs. 88,000"
ASUS ZENBOOK 14X OLED Q410VA Core i5 -13500H / 8 GB DDR5 RAM/ 512GB SSD/ 14.5″ OLED Touch Screen / Backlit Keyboard/ Win 11,Free Delivery,"Rs.93,990","Rs. 113,990"
"Acer Nitro 5 i5 12th Gen | 16GB DDR5 RAM | 512GB SSD | RTX 4050 6GB Graphics | 15.6"" FHD 144Hz",Free Delivery,"Rs.124,999",
Dell Vostro 3520 I3-12th gen 8GB RAM/512GB SSD/15.6 Display,Free Delivery,"Rs.52,999","Rs. 63,000"
"HP Victus 15 i5 13th Gen 13420H / 8GB RAM / 512GB NVMe SSD / NVIDIA GeForce RTX 3050 6GB GPU / 15.6"" FHD 144Hz Display / Windows 11 Home / Backlit Keyboard",Free Delivery,"Rs.105,999","Rs. 125,000"
"Dell Vostro 3520 i3 12th Gen | 8GB RAM | 512GB SSD | 15.6"" FHD 120Hz Display Laptop",Free Delivery,"Rs.46,990","Rs. 47,999"
HP Victus 15-FB1013DX (AMD Ryzen 5-7535HS Processor| 8GB RAM | 512GB Storage | NVIDIA RTX 2050 Graphics | 15.6-inch FHD 144Hz Display,Free Delivery,"Rs.89,999",
"Dell Vostro 3520 i5 12th Gen | 8GB RAM | 512GB SSD | 15.6"" 120Hz FHD | Black",Free Delivery,"Rs.61,500",
Dell Celeron 5470 Intel UHD 8/256GB SSD,Free Delivery,"Rs.36,000","Rs. 40,000"
Lenovo ideapad Slim 3 i5 13th Gen 8GB RAM 512ssd 15.6 Screen Laptop,Free Delivery,"Rs.66,399","Rs. 74,000"
"Apple MacBook Air 13.6"" M2/8C CPU/8C GPU/8GB/256GB - EvoStore",Free Delivery,"Rs.155,000","Rs. 174,900"
Lenovo IdeaPad Slim 3 13th Gen 13420H Intel Core i5 – 8GB DDR5 RAM – 512GB NVMe SSD – Intel Iris Xe Graphics – 15.6″ FHD TN Display – Arctic Grey,Free Delivery,"Rs.71,999","Rs. 80,000"
"Dell Vostro 3520 i5 12th Gen | 8GB RAM | 256GB SSD | 15.6"" 120Hz FHD | Black",Free Delivery,"Rs.58,499",
"Acer Nitro V15 2023 | 13th Gen Intel Core i5-13420H Processor | 8GB DDR5 RAM 4800MHz | 512GB PCIe NVMe SSD | NVIDIA RTX 4050 6GB Graphics | 15.6"" FHD 144Hz Display | White Backlit Keyboard | Gaming Laptop | Acer Nitro | Laptop | Black | 1 Year Warranty",Free Delivery,"Rs.117,900","Rs. 130,000"
Dell Latitude E7390 Laptop I5-8th Gen 256 GB SSD 8 GB RAM Ultrabook,Free Delivery,"Rs.44,999","Rs. 65,000"
Mi Notebook Pro Intel Core i5 11th Gen16GB/512GB SSD/Iris Xe Graphics 14 Inch Laptop,Free Delivery,"Rs.99,999","Rs. 114,999"
"Acer Aspire 5 / Core i3 11th Gen / 8GB RAM / 128GB SSD / 1TB HDD / 15.6"" FHD / WIN10 Genuine Laptop",Free Delivery,"Rs.53,990","Rs. 75,000"
"Lenovo Ideapad Slim 3 i3 13th Gen 8GB RAM 256GB ssd 15.6"" FHD Laptop",Free Delivery,"Rs.49,990","Rs. 55,000"
"Acer Swift 3 Laptop /Ryzen 7 5700U/8GB/512 GB/14"" FHD/Backlit Keyboard/Win 10",Free Delivery,"Rs.81,990","Rs. 105,000"
"Acer Aspire 5 Core i5 13th Gen/8GB RAM/512GB SSD/15.6"" FHD/Win 11",Free Delivery,"Rs.69,990","Rs. 85,000"
Lenovo Ideapad 1 | Celeron N4020 | 8GB RAM | 256GB SSD | 15.6″,Free Delivery,"Rs.35,899","Rs. 42,000"
"Dell 5470 Intel Celeron, 8GB RAM 256GB SSD, 14"" FHD DISPLAY, BACKLIT KEYBOARD, BLACK",Free Delivery,"Rs.40,000",
"MSI GF63 9SCSR I5 9TH GEN/ 8GB RAM/ 256GB SSD / GTX 1650TI / 15.6"" FHD 144Hz",Free Delivery,"Rs.125,000",
Dell Latitude E5300 i5-8th Gen 8GB 256 SSD 13.3″ Ultrabook,Free Delivery,"Rs.45,500","Rs. 72,000"
AVITA Magus Cosmos 2in1 NS12T5IN025P/ N4000,Free Delivery,"Rs.38,500",
Dell Vostro 3520 Intel Core i5 12th Generation – 8GB DDR4 RAM – 256GB SSD Storage – Intel UHD Graphics – 15.6″ FHD Display – Black,Free Delivery,"Rs.59,999","Rs. 79,000"
"CHUWI GemiBook X Laptop丨15.6"" IPS Display Intel 11th Gen. Celeron N5100 CPU Upto 2.8GHz丨8G DDR4丨256GB SSD Windows 11 + Free Gift",Free Delivery,"Rs.47,400","Rs. 69,300"
"Acer Nitro V i7 13th Gen 13620H | 16GB DDR5 | 512GB SSD | RTX 4050 6GB | 15.6"" FHD 144Hz",Free Delivery,"Rs.136,999",
Lenovo LOQ 15IRH8 | 12th Gen Intel Core i5 12450H Processor | 8GB DDR5 RAM | 512GB SSD | NVIDIA GeForce RTX 2050 4GB Graphics Card | 15.6-inch FHD 144Hz Display | 1 Year Warranty | Lenovo Laptop| Windows | Gaming Laptop | Grey,Free Delivery,"Rs.89,999","Rs. 100,000"
"Lenovo IP Slim 3 Core i5 13th Gen 13420H/ 8GB DDR 5 RAM/512 GB SSD/15.6"" FHD/Win 11",Free Delivery,"Rs.71,990","Rs. 92,990"
"Asus Vivobook Go E1504 Intel Core i3 N305 Thin and Light Laptop - 8GB DDR4 RAM - 256GB NVMe SSD - 15.6"" FHD Display - Silver",Free Delivery,"Rs.51,999","Rs. 60,000"
